Goal;Target;Indicator;SeriesCode;SeriesDescription;GeoAreaCode;GeoAreaName;Nature;Reporting Type;Units;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1.5;1.5.1;VC_DSR_AFFCT;Number of people affected by disaster (number);578;Norway;NA;G;NUMBER;;;;;;;;;;;;;20998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1.5;1.5.1;VC_DSR_AFFCT;Number of people affected by disaster (number);586;Pakistan;NA;G;NUMBER;5586710.35236;4094703.5595;2142290.90115;1936595.72093;4509821.53106;5131252.15224;6968767.47408;2106910.74863;636384.30067;410145.8725;;4773;1442;11489.26145;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1.5;1.5.1;VC_DSR_AFFCT;Number of people affected by disaster (number);585;Palau;NA;G;NUMBER;;;;;;;;1528;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1.5;1.5.1;VC_DSR_AFFCT;Number of people affected by disaster (number);591;Panama;NA;G;NUMBER;12999.28758;10431.54539;12075.88943;79267.97404;8057.87123;367612.69654;19989.44601;9841.10003;1558.77485;59132.03258;2254.14013;3630.95136;2830.10248;3029.06608;1268.16825;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1.5;1.5.1;VC_DSR_AFFCT;Number of people affected by disaster (number);598;Papua New Guinea;NA;G;NUMBER;2;293.22547;76406.95538;49404.06162;787.36469;;;233.49436;358.38669;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1.5;1.5.1;VC_DSR_AFFCT;Number of people affected by disaster (number);600;Paraguay;NA;G;NUMBER;288.68164;6010.72228;52968.84214;83904.82893;538502.84531;48901.79756;25947.84922;6236.19537;171027.92699;219512.85046;3823.39537;;;121568;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1.5;1.5.1;VC_DSR_AFFCT;Number of people affected by disaster (number);604;Peru;NA;G;NUMBER;1097842.4;1089819;2185733.3;1537914.2;978708.7;937007.8;1142178.2;1266434.9;816299.7;504624.1;1643318.9;3193411.8;2524549.1;1241947.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1.5;1.5.1;VC_DSR_AFFCT;Number of people affected by disaster (number);608;Philippines;NA;G;NUMBER;112649;6218444;137446;8299207;4097640;1489711;149168194;5602600;14244926;9414433;5988964;9045439;2177013;5562065;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1.5;1.5.1;VC_DSR_AFFCT;Number of people affected by disaster (number);410;Republic of Korea;NA;G;NUMBER;14246.11314;25977.30604;17581.75698;5479.58393;16562.15172;153554.25774;87537.77379;27176.12815;5527.00927;11727.17064;539;9131;22089;13673.48972;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1.5;1.5.1;VC_DSR_AFFCT;Number of people affected by disaster (number);642;Romania;NA;G;NUMBER;81179;19758;10074;26676;5330;39521;8510;4061;6433;8477;2558;16313;3717;137461;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1.5;1.5.1;VC_DSR_AFFCT;Number of people affected by disaster (number);643;Russian Federation;NA;G;NUMBER;;;;;3020;2908;23716;95118;211540;129864;20784;130959;36402;50477;120911;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1.5;1.5.1;VC_DSR_AFFCT;Number of people affected by disaster (number);646;Rwanda;NA;G;NUMBER;;;;;;;;;;;;14475.99987;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1.5;1.5.1;VC_DSR_AFFCT;Number of people affected by disaster (number);659;Saint Kitts and Nevis;NA;G;NUMBER;2;287.2;138;246;;5;12;8;35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1.5;1.5.1;VC_DSR_AFFCT;Number of people affected by disaster (number);662;Saint Lucia;NA;G;NUMBER;;;849.2;36;1;8112;29;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1.5;1.5.1;VC_DSR_AFFCT;Number of people affected by disaster (number);670;Saint Vincent and the Grenadines;NA;G;NUMBER;3457;81;140;265;4.324;7953.4;1852;4;2716.6;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1.5;1.5.1;VC_DSR_AFFCT;Number of people affected by disaster (number);882;Samoa;NA;G;NUMBER;;;;200;10261.02729;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1.5;1.5.1;VC_DSR_AFFCT;Number of people affected by disaster (number);686;Senegal;NA;G;NUMBER;30023.04226;1348.94491;4246.04597;300108.18761;421283.3642;1590837.23137;43470.75441;154901.16978;159327.45333;107509.3326;1215.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1.5;1.5.1;VC_DSR_AFFCT;Number of people affected by disaster (number);688;Serbia;NA;G;NUMBER;17526.39404;31984.15904;59256.81572;237.21589;8616.7748;;;122421.71591;7334.87021;;9444.48206;59897.39912;;;2041.79923;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1.5;1.5.1;VC_DSR_AFFCT;Number of people affected by disaster (number);690;Seychelles;NA;G;NUMBER;32;;49;15;24;;;;;30.22897;;;49.12208;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1.5;1.5.1;VC_DSR_AFFCT;Number of people affected by disaster (number);694;Sierra Leone;NA;G;NUMBER;;258.78448;;;934.12055;1994.52478;1762.58963;1863.50553;12559.7917;3436.08754;4844.24149;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1.5;1.5.1;VC_DSR_AFFCT;Number of people affected by disaster (number);705;Slovenia;NA;G;NUMBER;28;24;18;25423;2869;3710;1152;2566;28;16;28;460;969;2112;786;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1.5;1.5.1;VC_DSR_AFFCT;Number of people affected by disaster (number);90;Solomon Islands;NA;G;NUMBER;;;21343;;607;1456;36;216;4800;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1.5;1.5.1;VC_DSR_AFFCT;Number of people affected by disaster (number);706;Somalia;NA;G;NUMBER;;;;;;;;;;;;;;232;;;;;;;;;;;;;;;;;;;;;;;;;;;;
