Date;Open;High;Low;Close*;Adj Close**;Volume
Feb 19, 2008;12,349.59;12,584.62;12,155.26;12,570.22;12,570.22;14,446,500
Feb 12, 2008;12,241.56;12,573.13;12,241.56;12,348.21;12,348.21;10,168,600
Feb 05, 2008;12,631.85;12,631.93;12,069.47;12,240.01;12,240.01;14,872,400
Jan 29, 2008;12,385.19;12,767.74;12,249.93;12,635.16;12,635.16;16,310,900
Jan 22, 2008;12,092.72;12,486.89;11,634.82;12,383.89;12,383.89;21,035,700
Jan 15, 2008;12,777.50;12,777.50;12,022.48;12,099.30;12,099.30;17,628,700
Jan 08, 2008;12,820.90;12,931.29;12,501.76;12,778.15;12,778.15;15,281,800
Jan 01, 2008;13,261.82;13,279.54;12,733.84;12,827.49;12,827.49;10,511,100
Dec 25, 2007;13,547.95;13,563.32;13,246.53;13,264.82;13,264.82;5,783,500
Dec 18, 2007;13,168.66;13,563.48;13,092.00;13,550.04;13,550.04;11,622,600
Dec 11, 2007;13,726.87;13,780.11;13,158.42;13,167.20;13,167.20;13,288,900
Dec 04, 2007;13,311.24;13,754.02;13,237.59;13,727.03;13,727.03;10,286,500
Nov 27, 2007;12,744.78;13,466.99;12,744.78;13,314.57;13,314.57;13,323,000
Nov 20, 2007;12,955.92;13,107.37;12,724.09;12,743.44;12,743.44;9,982,200
Nov 13, 2007;12,975.11;13,367.17;12,937.63;12,958.44;12,958.44;14,090,400
Nov 06, 2007;13,542.34;13,669.72;12,981.04;12,987.55;12,987.55;15,779,100
Oct 30, 2007;13,869.04;13,962.53;13,446.02;13,543.40;13,543.40;13,423,200
Oct 23, 2007;13,568.93;13,901.40;13,470.16;13,870.26;13,870.26;12,593,500
Oct 16, 2007;13,986.34;14,012.84;13,407.49;13,566.97;13,566.97;13,126,700
Oct 09, 2007;14,043.73;14,198.10;13,904.32;13,984.80;13,984.80;9,743,400
Oct 02, 2007;14,087.14;14,124.54;13,947.73;14,043.73;14,043.73;7,914,500
Sep 25, 2007;13,757.84;14,115.51;13,696.31;14,087.55;14,087.55;9,852,700
Sep 18, 2007;13,403.18;13,877.17;13,403.18;13,759.06;13,759.06;14,111,700
Sep 11, 2007;13,129.40;13,469.27;13,129.15;13,403.42;13,403.42;9,798,800
Sep 04, 2007;13,358.39;13,494.06;13,021.93;13,127.85;13,127.85;11,577,700
Aug 28, 2007;13,318.43;13,428.95;13,034.78;13,357.74;13,357.74;8,860,700
Aug 21, 2007;13,120.05;13,387.33;13,052.17;13,322.13;13,322.13;9,461,900
Aug 14, 2007;13,235.72;13,269.78;12,517.94;13,121.35;13,121.35;16,547,700
Aug 07, 2007;13,467.72;13,695.82;13,057.86;13,236.53;13,236.53;14,776,900
Jul 31, 2007;13,360.66;13,503.33;13,132.65;13,468.78;13,468.78;15,542,900
Jul 24, 2007;13,940.90;13,940.99;13,219.14;13,358.31;13,358.31;16,233,000
Jul 17, 2007;13,951.96;14,021.95;13,797.67;13,943.42;13,943.42;14,709,100
Jul 10, 2007;13,648.59;13,989.11;13,474.79;13,950.98;13,950.98;12,322,300
Jul 03, 2007;13,531.53;13,670.46;13,513.49;13,649.97;13,649.97;6,693,000
Jun 26, 2007;13,352.37;13,537.87;13,259.86;13,535.43;13,535.43;11,526,100
Jun 19, 2007;13,611.68;13,674.36;13,299.78;13,352.05;13,352.05;13,821,500
Jun 12, 2007;13,424.39;13,688.66;13,287.62;13,612.98;13,612.98;13,146,100
Jun 05, 2007;13,673.19;13,673.51;13,251.53;13,424.96;13,424.96;11,840,500
May 29, 2007;13,507.28;13,692.00;13,456.73;13,676.32;13,676.32;10,645,200
May 22, 2007;13,544.99;13,624.55;13,423.90;13,507.28;13,507.28;8,338,300
May 15, 2007;13,346.05;13,586.03;13,339.47;13,542.88;13,542.88;11,973,200
May 08, 2007;13,309.40;13,383.76;13,210.90;13,346.78;13,346.78;11,447,400
May 01, 2007;13,062.75;13,317.69;13,041.30;13,312.97;13,312.97;11,900,500
Apr 24, 2007;12,919.64;13,162.06;12,901.68;13,062.91;13,062.91;12,751,900
Apr 17, 2007;12,719.56;12,983.92;12,707.45;12,919.40;12,919.40;14,203,600
Apr 10, 2007;12,568.49;12,731.18;12,428.22;12,720.46;12,720.46;11,277,200
Apr 03, 2007;12,379.05;12,593.60;12,379.05;12,569.14;12,569.14;7,871,200
Mar 27, 2007;12,468.67;12,468.67;12,242.60;12,382.30;12,382.30;10,853,800
Mar 20, 2007;12,226.81;12,511.05;12,213.11;12,469.07;12,469.07;11,016,900
Mar 13, 2007;12,307.49;12,307.57;11,939.61;12,226.17;12,226.17;14,755,300
Mar 06, 2007;12,051.17;12,349.95;12,050.61;12,318.62;12,318.62;12,140,400
Feb 27, 2007;12,628.90;12,629.38;12,039.11;12,050.41;12,050.41;17,720,800
Feb 20, 2007;12,766.85;12,795.93;12,608.47;12,632.26;12,632.26;10,716,000
Feb 13, 2007;12,549.19;12,779.03;12,549.19;12,767.57;12,767.57;8,426,600
Feb 06, 2007;12,661.66;12,700.28;12,536.21;12,552.55;12,552.55;9,841,600
Jan 30, 2007;12,492.23;12,683.93;12,459.46;12,661.74;12,661.74;11,453,300
Jan 23, 2007;12,477.81;12,623.45;12,431.34;12,490.78;12,490.78;12,109,900
Jan 16, 2007;12,555.84;12,614.00;12,450.89;12,477.16;12,477.16;13,470,100
Jan 09, 2007;12,424.77;12,561.04;12,355.63;12,556.08;12,556.08;9,700,100
Jan 02, 2007;12,459.54;12,580.35;12,337.37;12,423.49;12,423.49;10,449,800
Dec 26, 2006;12,341.94;12,529.88;12,337.05;12,463.15;12,463.15;5,421,600
Dec 19, 2006;12,439.51;12,498.47;12,341.70;12,343.22;12,343.22;7,624,900
Dec 12, 2006;12,328.24;12,490.70;12,252.05;12,441.27;12,441.27;13,706,200
Dec 05, 2006;12,283.69;12,360.76;12,243.08;12,328.48;12,328.48;11,600,000
Nov 28, 2006;12,118.94;12,309.97;12,072.60;12,283.85;12,283.85;12,828,300
Nov 21, 2006;12,312.13;12,361.00;12,110.81;12,121.71;12,121.71;7,087,700
Nov 14, 2006;12,132.44;12,355.23;12,084.97;12,316.54;12,316.54;12,515,600
Nov 07, 2006;12,104.75;12,196.32;12,074.01;12,131.88;12,131.88;11,488,800
Oct 31, 2006;12,086.18;12,123.96;11,965.31;12,105.55;12,105.55;11,542,600
Oct 24, 2006;12,116.51;12,167.02;12,049.92;12,086.50;12,086.50;12,168,500
Oct 17, 2006;11,977.40;12,125.16;11,887.19;12,116.91;12,116.91;14,455,500
Oct 10, 2006;11,857.73;11,997.25;11,794.17;11,980.60;11,980.60;13,411,000
Oct 03, 2006;11,670.11;11,872.94;11,653.06;11,857.81;11,857.81;11,869,000
Sep 26, 2006;11,575.73;11,741.99;11,567.65;11,670.35;11,670.35;12,311,100
Sep 19, 2006;11,554.60;11,630.56;11,474.56;11,575.81;11,575.81;11,131,100
Sep 12, 2006;11,396.84;11,613.51;11,395.71;11,555.00;11,555.00;12,134,000
Sep 05, 2006;11,461.83;11,488.17;11,323.84;11,396.84;11,396.84;9,672,700
Aug 29, 2006;11,352.65;11,476.48;11,299.58;11,464.15;11,464.15;7,036,900
Aug 22, 2006;11,344.41;11,387.79;11,260.28;11,352.01;11,352.01;8,858,200
Aug 15, 2006;11,098.03;11,381.47;11,098.03;11,345.05;11,345.05;11,498,200
Aug 08, 2006;11,218.18;11,276.29;11,042.64;11,097.87;11,097.87;10,767,600
Aug 01, 2006;11,184.80;11,344.17;11,083.86;11,219.38;11,219.38;10,205,700
Jul 25, 2006;11,051.05;11,243.31;10,999.90;11,185.68;11,185.68;13,514,600
Jul 18, 2006;10,745.84;11,065.95;10,683.32;11,051.05;11,051.05;16,711,700
Jul 11, 2006;11,102.59;11,151.18;10,701.34;10,747.36;10,747.36;14,569,500
Jul 04, 2006;11,225.06;11,257.08;11,066.01;11,103.55;11,103.55;9,343,100
Jun 27, 2006;11,048.24;11,235.63;10,902.48;11,228.02;11,228.02;13,675,400
Jun 20, 2006;10,942.03;11,131.73;10,938.42;11,045.28;11,045.28;12,585,200
Jun 13, 2006;10,783.14;11,057.61;10,698.85;10,942.11;10,942.11;19,426,800
Jun 06, 2006;11,048.24;11,094.26;10,757.55;10,792.58;10,792.58;17,069,300
May 30, 2006;11,277.25;11,285.82;11,040.24;11,048.72;11,048.72;14,337,000
May 23, 2006;11,126.29;11,283.49;11,030.47;11,278.61;11,278.61;13,178,700
May 16, 2006;11,428.21;11,460.55;11,040.07;11,125.33;11,125.33;18,710,200
May 09, 2006;11,584.62;11,670.19;11,333.04;11,428.77;11,428.77;14,920,800
May 02, 2006;11,345.21;11,603.59;11,345.13;11,584.54;11,584.54;16,987,300
